year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn
1995,F,1995-10-26,JC,3,1,57,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,58,N,NEAL,NA,J,130,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,59,N,DIME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-26,JC,3,1,64,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,66,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,71,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,83,N,NEAL,NA,J,80,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,90,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,94,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,95,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,96,N,DIME,M,A,40,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,105,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,107,N,NEAL,F,A,215,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,117,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,118,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,120,N,NEAL,M,A,198,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,126,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
