year,season,date,habitat,night,web,trap,recap,species,sex,age,weight_g
1996,F,1996-10-18,JC,3,3,139,N,DIME,NA,J,21
1997,F,1997-10-28,JC,1,1,2,N,DIME,M,A,37
1997,F,1997-10-28,JC,1,1,10,N,DIME,F,A,44
1997,F,1997-10-28,JC,1,1,11,N,DIME,F,A,39
1997,F,1997-10-28,JC,1,1,12,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,1,19,N,DIME,F,A,43
1997,F,1997-10-28,JC,1,1,21,N,NEAL,NA,J,83
1997,F,1997-10-28,JC,1,1,22,N,ONAR,NA,J,16
1997,F,1997-10-28,JC,1,1,23,N,DIME,F,A,46
1997,F,1997-10-28,JC,1,1,31,N,DIME,M,A,46
1997,F,1997-10-28,JC,1,1,35,N,DIME,M,A,40
1997,F,1997-10-28,JC,1,1,36,N,DIME,F,A,43
1997,F,1997-10-28,JC,1,1,41,N,NEAL,F,A,152
1997,F,1997-10-28,JC,1,1,42,N,ONAR,NA,J,17
1997,F,1997-10-28,JC,1,1,46,N,DIME,M,A,48
1997,F,1997-10-28,JC,1,1,47,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,1,48,N,DIME,F,A,41
1997,F,1997-10-28,JC,1,1,55,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,1,57,N,DIME,F,A,45
1997,F,1997-10-28,JC,1,1,58,N,DIME,NA,J,38
1997,F,1997-10-28,JC,1,1,59,N,DIME,F,A,37
1997,F,1997-10-28,JC,1,1,60,N,DIME,M,A,46
1997,F,1997-10-28,JC,1,1,69,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,1,70,N,DIME,M,A,39
1997,F,1997-10-28,JC,1,1,72,N,REME,M,A,12
1997,F,1997-10-28,JC,1,1,74,N,DIME,F,A,44
1997,F,1997-10-28,JC,1,1,82,N,DIME,F,A,38
1997,F,1997-10-28,JC,1,1,84,N,DIME,M,A,39
1997,F,1997-10-28,JC,1,1,86,N,DIME,F,A,44
1997,F,1997-10-28,JC,1,1,91,N,ONAR,F,A,19
1997,F,1997-10-28,JC,1,1,92,N,DIME,F,A,38
1997,F,1997-10-28,JC,1,1,93,N,NEAL,NA,J,120
1997,F,1997-10-28,JC,1,1,103,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,1,105,N,DIME,M,A,37
1997,F,1997-10-28,JC,1,1,110,N,DIME,NA,J,36
1997,F,1997-10-28,JC,1,2,110,N,ONAR,M,A,20
1997,F,1997-10-28,JC,1,1,111,N,REME,F,A,12
