year,species,abundance,trap_nights,abund_per_trapnight
2008,flavus,1,1305,7.662835249042146e-4
2008,leucodon,4,1305,0.0030651340996168583
2008,leucopus,3,1305,0.0022988505747126436
2008,megalotis,2,1305,0.0015325670498084292
2008,merriami,176,1305,0.13486590038314175
2008,ordii,78,1305,0.059770114942528735
2008,spectabilis,69,1305,0.052873563218390804
2009,arenicola,12,1305,0.009195402298850575
2009,boylii,2,1305,0.0015325670498084292
2009,eremicus,3,1305,0.0022988505747126436
2009,leucodon,4,1305,0.0030651340996168583
2009,leucogaster,2,1305,0.0015325670498084292
2009,leucopus,2,1305,0.0015325670498084292
2009,megalotis,4,1305,0.0030651340996168583
2009,merriami,233,1305,0.178544061302682
2009,micropus,1,1305,7.662835249042146e-4
2009,ordii,61,1305,0.04674329501915709
2009,spectabilis,63,1305,0.04827586206896552
2010,arenicola,4,1305,0.0030651340996168583
2010,hispidus,1,1305,7.662835249042146e-4
2010,leucopus,2,1305,0.0015325670498084292
2010,maniculatus,2,1305,0.0015325670498084292
2010,merriami,59,1305,0.045210727969348656
2010,micropus,1,1305,7.662835249042146e-4
2010,ordii,8,1305,0.006130268199233717
2010,spectabilis,17,1305,0.013026819923371647
2011,arenicola,1,1305,7.662835249042146e-4
2011,eremicus,1,1305,7.662835249042146e-4
2011,leucogaster,8,1305,0.006130268199233717
2011,merriami,78,1305,0.059770114942528735
2011,micropus,1,1305,7.662835249042146e-4
2011,ordii,12,1305,0.009195402298850575
2011,spectabilis,19,1305,0.014559386973180077
2012,arenicola,18,1305,0.013793103448275862
2012,eremicus,4,1305,0.0030651340996168583
2012,leucogaster,6,1305,0.004597701149425287
2012,leucopus,1,1305,7.662835249042146e-4
2012,maniculatus,1,1305,7.662835249042146e-4
2012,merriami,98,1305,0.07509578544061303
2012,ordii,19,1305,0.014559386973180077
2012,spectabilis,13,1305,0.00996168582375479
2013,arenicola,4,1305,0.0030651340996168583
2013,leucogaster,4,1305,0.0030651340996168583
2013,leucopus,3,1305,0.0022988505747126436
2013,maniculatus,2,1305,0.0015325670498084292
2013,merriami,59,1305,0.045210727969348656
2013,micropus,2,1305,0.0015325670498084292
2013,ordii,6,1305,0.004597701149425287
2013,spectabilis,10,1305,0.007662835249042145
2014,arenicola,50,1305,0.038314176245210725
2014,eremicus,26,1305,0.01992337164750958
2014,hispidus,2,1305,0.0015325670498084292
2014,leucodon,2,1305,0.0015325670498084292
2014,leucopus,33,1305,0.02528735632183908
2014,maniculatus,9,1305,0.006896551724137931
2014,merriami,191,1305,0.14636015325670498
2014,micropus,5,1305,0.0038314176245210726
2014,ordii,108,1305,0.08275862068965517
2014,spectabilis,18,1305,0.013793103448275862
2015,arenicola,39,1305,0.029885057471264367
2015,eremicus,22,1305,0.01685823754789272
2015,leucodon,1,1305,7.662835249042146e-4
2015,leucopus,8,1305,0.006130268199233717
2015,maniculatus,6,1305,0.004597701149425287
2015,merriami,107,1305,0.08199233716475096
2015,micropus,12,1305,0.009195402298850575
2015,ordii,48,1305,0.0367816091954023
2015,spectabilis,23,1305,0.017624521072796936
2016,arenicola,17,1305,0.013026819923371647
2016,eremicus,2,1305,0.0015325670498084292
2016,leucodon,2,1305,0.0015325670498084292
2016,leucopus,3,1305,0.0022988505747126436
2016,maniculatus,2,1305,0.0015325670498084292
2016,megalotis,1,1305,7.662835249042146e-4
2016,merriami,56,1305,0.04291187739463601
2016,ordii,8,1305,0.006130268199233717
2016,spectabilis,40,1305,0.03065134099616858
2017,arenicola,9,1305,0.006896551724137931
2017,boylii,1,1305,7.662835249042146e-4
2017,eremicus,4,1305,0.0030651340996168583
2017,leucodon,7,1305,0.0053639846743295016
2017,leucogaster,1,1305,7.662835249042146e-4
2017,leucopus,2,1305,0.0015325670498084292
2017,merriami,70,1305,0.05363984674329502
2017,micropus,3,1305,0.0022988505747126436
2017,musculus,1,1305,7.662835249042146e-4
2017,ordii,8,1305,0.006130268199233717
2017,spectabilis,71,1305,0.05440613026819923
2018,arenicola,6,1305,0.004597701149425287
2018,eremicus,9,1305,0.006896551724137931
2018,leucodon,1,1305,7.662835249042146e-4
2018,merriami,91,1305,0.06973180076628352
2018,ordii,60,1305,0.04597701149425287
2018,spectabilis,121,1305,0.09272030651340996
2019,arenicola,7,1305,0.0053639846743295016
2019,boylii,3,1305,0.0022988505747126436
2019,eremicus,13,1305,0.00996168582375479
2019,leucodon,5,1305,0.0038314176245210726
2019,leucogaster,2,1305,0.0015325670498084292
2019,maniculatus,3,1305,0.0022988505747126436
2019,megalotis,1,1305,7.662835249042146e-4
2019,merriami,102,1305,0.07816091954022988
2019,micropus,2,1305,0.0015325670498084292
2019,ordii,45,1305,0.034482758620689655
2019,spectabilis,80,1305,0.06130268199233716
2020,arenicola,17,1305,0.013026819923371647
2020,boylii,2,1305,0.0015325670498084292
2020,eremicus,3,1305,0.0022988505747126436
2020,leucogaster,7,1305,0.0053639846743295016
2020,leucopus,1,1305,7.662835249042146e-4
2020,merriami,62,1305,0.0475095785440613
2020,micropus,1,1305,7.662835249042146e-4
2020,ordii,19,1305,0.014559386973180077
2020,spectabilis,87,1305,0.06666666666666667
2021,arenicola,4,1305,0.0030651340996168583
2021,boylii,1,1305,7.662835249042146e-4
2021,eremicus,2,1305,0.0015325670498084292
2021,leucogaster,3,1305,0.0022988505747126436
2021,merriami,55,1305,0.0421455938697318
2021,micropus,2,1305,0.0015325670498084292
2021,ordii,29,1305,0.022222222222222223
2021,spectabilis,57,1305,0.04367816091954023
2021,spilosoma,1,1305,7.662835249042146e-4
2022,arenicola,8,1305,0.006130268199233717
2022,boylii,3,1305,0.0022988505747126436
