trap_check_date,year,month,day,genus,species,recapture,sex,age,mass_g,reprod_cond,web_trap_number,comments,rhf,body,tail
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,48,NA,89,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,45,ST,90,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,41,ST,107,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,SA,34,NA,116,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,40,ST,122,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,39,NA,131,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,40,ST,136,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,41,ST,138,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,42,ST,142,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,F,A,172,NA,12,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,F,A,182,LACT,22,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,M,A,170,NA,44,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,F,SA,118,NA,47,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,F,A,200,PREG,70,NA,NA,NA,NA
1993-03-19,1993,3,19,Neotoma,albigula,N,F,A,160,NA,114,NA,NA,NA,NA
1993-03-19,1993,3,19,Perognathus,amplus,N,M,A,12,NA,28,NA,NA,NA,NA
1993-03-19,1993,3,19,Perognathus,amplus,N,F,A,12,NA,32,NA,NA,NA,NA
1993-03-19,1993,3,19,Perognathus,amplus,N,F,A,13,NA,127,NA,NA,NA,NA
1993-03-19,1993,3,19,Perognathus,amplus,N,M,A,14,ST,130,May be a juvenile Chaetodipus pennicilatus?,NA,NA,NA
1993-03-19,1993,3,19,Peromyscus,eremicus,N,F,A,26,PREG,16,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,26,ST,33,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,28,ST,69,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,F,A,24,NA,82,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,36,ST,83,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,F,A,26,NA,89,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,27,NA,139,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,31,ST,143,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,N,M,A,45,ST,144,NA,NA,NA,NA
